index,mean,sd,ci_3%,ci_97%,ess_bulk,ess_tail,model
"beta_g['blues','liveness']",-0.5681974663292968,0.5332721347096652,-1.575488887964844,0.4152498355782153,0.0,0.0,gaussian
"beta_g['blues','valence']",-7.195427434076381,0.5296708375257009,-8.198397200011991,-6.177800543998189,0.0,0.0,gaussian
"beta_g['blues','tempo']",0.4964759611591011,0.35753953803472366,-0.14643672118876466,1.2116828931569064,0.0,0.0,gaussian
"beta_g['blues','explicit']",2.7815511604854075,0.9851024231616019,0.9164818699834033,4.668720049343829,0.0,0.0,gaussian
alpha_g['brazil'],42.06117375106544,0.0,41.043378054786324,43.08016998825204,0.0,0.0,gaussian
"beta_g['brazil','danceability']",0.15555494738593706,0.5634176574232578,-0.8828299948162407,1.2395038170818997,0.0,0.0,gaussian
"beta_g['brazil','energy']",-1.6061587308863807,0.6956640465267201,-2.9002451365708843,-0.2852768350456453,0.0,0.0,gaussian
"beta_g['brazil','loudness']",3.092290794305498,0.9164594634828843,1.3720837543072837,4.85004503342855,0.0,0.0,gaussian
"beta_g['brazil','speechiness']",0.6447239433163531,0.3456366541751652,-0.024869819627996993,1.3111968178841886,0.0,0.0,gaussian
"beta_g['brazil','acousticness']",-0.3783112489362245,0.6469967176430269,-1.637114119942036,0.8346264646619862,0.0,0.0,gaussian
"beta_g['brazil','instrumentalness']",-2.8808664907351615,0.8169068861557836,-4.45912228427297,-1.3587882273663177,0.0,0.0,gaussian
"beta_g['brazil','liveness']",0.3438187038235078,0.33189708278650737,-0.2707921330256314,0.9723884354373588,0.0,0.0,gaussian
"beta_g['brazil','valence']",-1.427076744508898,0.5591871678965495,-2.519691490097561,-0.3715173187649692,0.0,0.0,gaussian
"beta_g['brazil','tempo']",0.15651329120908275,0.39147981638620577,-0.5721478971906195,0.8905903553002336,0.0,0.0,gaussian
"beta_g['brazil','explicit']",0.32896953176245747,0.5453082799790843,-0.7442594700846297,1.3355925962496518,0.0,0.0,gaussian
alpha_g['breakbeat'],21.800283066107934,0.0,20.83591533732839,22.761415018735292,0.0,0.0,gaussian
"beta_g['breakbeat','danceability']",-3.4876762192318314,0.5808641577318961,-4.545590237165458,-2.40232787937615,0.0,0.0,gaussian
"beta_g['breakbeat','energy']",-0.10770181166883379,0.533069177201775,-1.0888874763451812,0.9022820098184986,0.0,0.0,gaussian
"beta_g['breakbeat','loudness']",1.6816981227610244,0.7067809029102239,0.30272027346037916,2.9735712091650197,0.0,0.0,gaussian
"beta_g['breakbeat','speechiness']",-0.6512481437177522,0.5635143850084794,-1.735403697551852,0.3874561583511709,0.0,0.0,gaussian
"beta_g['breakbeat','acousticness']",0.16405598446654177,0.6324461372862725,-1.003545668416398,1.3956087019171648,0.0,0.0,gaussian
"beta_g['breakbeat','instrumentalness']",-0.049621127133173355,0.3673665897514545,-0.7645986018633868,0.6312387350450553,0.0,0.0,gaussian
"beta_g['breakbeat','liveness']",0.1652086824703634,0.441298709108676,-0.6919064487127586,0.9773182248767346,0.0,0.0,gaussian
"beta_g['breakbeat','valence']",-1.4741188662405398,0.4842243314083891,-2.3857415363739847,-0.5635009711934496,0.0,0.0,gaussian
"beta_g['breakbeat','tempo']",-0.1715065910121433,0.3873447500532883,-0.9247254647521501,0.5421017715325308,0.0,0.0,gaussian
"beta_g['breakbeat','explicit']",1.2255968742822376,0.6638831270877662,0.0103551601737262,2.4950308076805348,0.0,0.0,gaussian
alpha_g['british'],45.3091966695921,0.0,44.32361753664232,46.34068997721047,0.0,0.0,gaussian
"beta_g['british','danceability']",-0.9621960268554959,0.542507353610072,-1.9832515369278043,0.05765422936834841,0.0,0.0,gaussian
"beta_g['british','energy']",-1.3710299122038454,0.48523640776202154,-2.2850372712651534,-0.47760804964525794,0.0,0.0,gaussian
"beta_g['british','loudness']",3.324063817917568,0.4360591900596016,2.5028248808355285,4.125627200012545,0.0,0.0,gaussian
"beta_g['british','speechiness']",-2.3409898542945093,0.783042055952044,-3.8260280189986418,-0.9101492258372822,0.0,0.0,gaussian
"beta_g['british','acousticness']",-0.3294760083941884,0.47859559382412625,-1.248045513047311,0.5431437898185719,0.0,0.0,gaussian
"beta_g['british','instrumentalness']",-3.40211746619277,0.48299388909237406,-4.369166536183926,-2.5072031311340384,0.0,0.0,gaussian
"beta_g['british','liveness']",0.08987054325760588,0.5337775921493536,-0.9196225228946726,1.0818838529899133,0.0,0.0,gaussian
"beta_g['british','valence']",1.3282565123768657,0.5113637732843337,0.37248602682002874,2.292354371420469,0.0,0.0,gaussian
